2025-07-22 17:54:27 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 17:54:27 | ERROR | __main__:run:123 | Error running bot: object NoneType can't be used in 'await' expression
2025-07-22 17:54:27 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 17:54:27 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 17:55:11 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 17:55:11 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 17:55:11 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 17:55:11 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 17:55:12 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 17:55:12 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 17:58:35 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 17:58:35 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 17:58:43 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 17:58:43 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 17:58:43 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 17:58:43 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 17:58:44 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 17:58:44 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 17:59:26 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 17:59:26 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 17:59:37 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 17:59:37 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 17:59:37 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 17:59:37 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 17:59:37 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 17:59:37 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 17:59:56 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 17:59:56 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:07:22 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:07:22 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:07:23 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:07:23 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:07:23 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:07:23 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:08:19 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:08:19 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:09:35 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:09:35 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:09:35 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:09:35 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:09:35 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:09:35 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:15:51 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:15:51 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:15:56 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:15:56 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:15:56 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:15:56 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:15:56 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:15:56 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:16:46 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:16:46 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:16:53 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:16:53 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:16:53 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:16:53 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:16:54 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:16:54 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:17:26 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:17:26 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:17:35 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:17:35 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:17:35 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:17:35 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:17:35 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:17:35 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:18:28 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:18:28 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 18:31:46 | INFO | __main__:_setup_logging:42 | Logging configured with level: DEBUG
2025-07-22 18:31:46 | INFO | __main__:_setup_bot_and_dispatcher:52 | Setting up bot and dispatcher...
2025-07-22 18:31:46 | INFO | __main__:_on_startup:81 | 🚀 TelegramBot started successfully!
2025-07-22 18:31:46 | INFO | __main__:_on_startup:82 | Bot description: Telegram Bot
2025-07-22 18:31:46 | INFO | __main__:_on_startup:89 | Bot commands set successfully
2025-07-22 18:31:46 | INFO | __main__:run:119 | Starting bot polling...
2025-07-22 18:32:36 | INFO | __main__:_on_shutdown:94 | 🛑 Shutting down bot...
2025-07-22 18:32:36 | INFO | __main__:_on_shutdown:97 | Bot shutdown completed
2025-07-22 20:31:44 | INFO | __main__:_setup_logging:48 | Logging configured with level: DEBUG
2025-07-22 20:31:44 | INFO | __main__:_setup_bot_and_dispatcher:67 | Setting up bot and dispatcher...
2025-07-22 20:31:45 | INFO | __main__:_on_startup:100 | 🚀 TelegramBot started successfully!
2025-07-22 20:31:45 | INFO | __main__:_on_startup:101 | Bot description: Telegram Bot
2025-07-22 20:31:45 | INFO | __main__:_on_startup:108 | Bot commands set successfully
2025-07-22 20:31:45 | INFO | __main__:run:138 | Starting bot polling...
2025-07-22 20:34:30 | INFO | __main__:_on_shutdown:113 | 🛑 Shutting down bot...
2025-07-22 20:34:30 | INFO | __main__:_on_shutdown:116 | Bot shutdown completed
2025-07-22 20:35:12 | INFO | __main__:_setup_logging:48 | Logging configured with level: DEBUG
2025-07-22 20:35:12 | INFO | __main__:_setup_bot_and_dispatcher:67 | Setting up bot and dispatcher...
2025-07-22 20:35:12 | INFO | __main__:_on_startup:100 | 🚀 TelegramBot started successfully!
2025-07-22 20:35:12 | INFO | __main__:_on_startup:101 | Bot description: Telegram Bot
2025-07-22 20:35:13 | INFO | __main__:_on_startup:108 | Bot commands set successfully
2025-07-22 20:35:13 | INFO | __main__:run:138 | Starting bot polling...
2025-07-22 20:36:18 | INFO | __main__:_on_shutdown:113 | 🛑 Shutting down bot...
2025-07-22 20:36:18 | INFO | __main__:_on_shutdown:116 | Bot shutdown completed
