2025-07-18 13:41:51 | INFO | __main__:_setup_logging:32 | Logging configured with level: DEBUG
2025-07-18 13:41:51 | INFO | __main__:_setup_bot_and_dispatcher:37 | Setting up bot and dispatcher...
2025-07-18 13:41:51 | INFO | __main__:_on_startup:62 | 🚀 TelegramBot started successfully!
2025-07-18 13:41:51 | INFO | __main__:_on_startup:63 | Bot description: Telegram Bot
2025-07-18 13:41:52 | INFO | __main__:_on_startup:70 | Bot commands set successfully
2025-07-18 13:41:52 | INFO | __main__:run:97 | Starting bot polling...
2025-07-18 13:42:25 | INFO | __main__:_on_shutdown:75 | 🛑 Shutting down bot...
2025-07-18 13:42:25 | INFO | __main__:_on_shutdown:78 | Bot shutdown completed
2025-07-18 13:43:46 | INFO | __main__:_setup_logging:32 | Logging configured with level: DEBUG
2025-07-18 13:43:46 | INFO | __main__:_setup_bot_and_dispatcher:37 | Setting up bot and dispatcher...
2025-07-18 13:43:47 | INFO | __main__:_on_startup:62 | 🚀 TelegramBot started successfully!
2025-07-18 13:43:47 | INFO | __main__:_on_startup:63 | Bot description: Telegram Bot
2025-07-18 13:43:47 | INFO | __main__:_on_startup:70 | Bot commands set successfully
2025-07-18 13:43:47 | INFO | __main__:run:97 | Starting bot polling...
2025-07-18 13:46:10 | INFO | __main__:_on_shutdown:75 | 🛑 Shutting down bot...
2025-07-18 13:46:10 | INFO | __main__:_on_shutdown:78 | Bot shutdown completed
2025-07-18 13:46:14 | INFO | __main__:_setup_logging:32 | Logging configured with level: DEBUG
2025-07-18 13:46:14 | INFO | __main__:_setup_bot_and_dispatcher:37 | Setting up bot and dispatcher...
2025-07-18 13:46:14 | INFO | __main__:_on_startup:62 | 🚀 TelegramBot started successfully!
2025-07-18 13:46:14 | INFO | __main__:_on_startup:63 | Bot description: Telegram Bot
2025-07-18 13:46:15 | INFO | __main__:_on_startup:70 | Bot commands set successfully
2025-07-18 13:46:15 | INFO | __main__:run:97 | Starting bot polling...
2025-07-18 13:46:35 | INFO | __main__:_on_shutdown:75 | 🛑 Shutting down bot...
2025-07-18 13:46:35 | INFO | __main__:_on_shutdown:78 | Bot shutdown completed
2025-07-18 13:47:43 | INFO | __main__:_setup_logging:32 | Logging configured with level: DEBUG
2025-07-18 13:47:43 | INFO | __main__:_setup_bot_and_dispatcher:37 | Setting up bot and dispatcher...
2025-07-18 13:47:43 | INFO | __main__:_on_startup:62 | 🚀 TelegramBot started successfully!
2025-07-18 13:47:43 | INFO | __main__:_on_startup:63 | Bot description: Telegram Bot
