2025-07-23 21:39:14 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 21:40:02 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 21:40:02 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 15:57:18 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 15:57:18 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 15:57:18 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 15:57:18 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 15:57:19 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 15:57:19 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:14:58 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:14:58 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:17:48 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:17:48 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:17:48 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:17:48 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:17:48 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:17:48 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:20:21 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:20:21 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:20:26 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:20:26 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:20:26 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:20:26 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:20:27 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:20:27 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:22:46 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:22:46 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:22:52 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:22:52 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:22:52 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:22:52 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:22:52 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:22:52 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:24:04 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:24:04 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:24:08 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:24:08 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:24:09 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:24:09 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:24:09 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:24:09 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:27:56 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:27:56 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:28:31 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:28:31 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:28:31 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:28:31 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:28:31 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:28:31 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:30:57 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:30:57 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:40:04 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:40:04 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:40:04 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:40:04 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:40:04 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:40:04 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:41:47 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:41:47 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:46:36 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
