2025-07-21 17:14:30 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:14:30 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:14:30 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:14:30 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:14:30 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:14:30 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:15:38 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:15:38 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:15:42 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:15:43 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:15:43 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:15:43 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:15:43 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:15:43 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:31:10 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:31:10 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:31:10 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:31:10 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:31:10 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:31:10 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:31:10 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:31:11 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:31:22 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:31:22 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:31:23 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:31:23 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:31:23 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:31:23 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:31:23 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:31:23 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:31:45 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:31:45 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:31:45 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:31:45 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:31:45 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:31:45 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:32:33 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:32:33 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:33:06 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:33:06 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:33:06 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:33:06 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:33:07 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:33:07 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:33:24 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:33:24 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:35:19 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:35:19 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:35:19 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:35:19 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:35:43 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:35:43 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:36:41 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:36:41 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:36:45 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:36:45 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:36:45 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:36:45 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:36:46 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:36:46 | INFO | __main__:run:114 | Starting bot polling...
2025-07-21 17:38:58 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-21 17:38:58 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-21 17:42:02 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-21 17:42:02 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-21 17:42:02 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-21 17:42:02 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-21 17:42:25 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-21 17:42:25 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:38:00 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:38:00 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:38:01 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:38:01 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:38:01 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:38:01 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:40:58 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:40:58 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 11:42:05 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:42:05 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:42:05 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:42:05 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:42:05 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:42:05 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:43:46 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:43:46 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 11:43:50 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:43:50 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:43:50 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:43:50 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:43:51 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:43:51 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:44:25 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:44:25 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 11:46:38 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:46:38 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:46:38 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:46:38 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:46:38 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:46:38 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:47:06 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:47:06 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 11:48:17 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:48:17 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:48:17 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:48:17 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:48:17 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:48:17 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:55:13 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:55:13 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:55:13 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:55:13 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:55:13 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:55:13 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:55:39 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:55:39 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 11:56:55 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 11:56:55 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 11:56:55 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 11:56:55 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 11:56:55 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 11:56:55 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 11:57:21 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 11:57:21 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 12:20:03 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 12:20:03 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 12:20:03 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 12:20:03 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 12:20:04 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 12:20:04 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 12:20:05 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 12:20:05 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 12:35:53 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 12:35:53 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 12:35:54 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 12:35:54 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 12:35:54 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 12:35:54 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 12:36:26 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 12:36:26 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 12:44:53 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 12:44:53 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 12:44:53 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 12:44:53 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 12:44:53 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 12:44:53 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 13:03:59 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 13:03:59 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 13:32:52 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 13:32:52 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 13:32:52 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 13:32:52 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 13:32:53 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 13:32:53 | INFO | __main__:run:114 | Starting bot polling...
2025-07-22 13:33:27 | INFO | __main__:_on_shutdown:92 | 🛑 Shutting down bot...
2025-07-22 13:33:27 | INFO | __main__:_on_shutdown:95 | Bot shutdown completed
2025-07-22 13:39:27 | INFO | __main__:_setup_logging:43 | Logging configured with level: DEBUG
2025-07-22 13:39:27 | INFO | __main__:_setup_bot_and_dispatcher:48 | Setting up bot and dispatcher...
2025-07-22 13:39:27 | INFO | __main__:_on_startup:79 | 🚀 TelegramBot started successfully!
2025-07-22 13:39:27 | INFO | __main__:_on_startup:80 | Bot description: Telegram Bot
2025-07-22 13:39:27 | INFO | __main__:_on_startup:87 | Bot commands set successfully
2025-07-22 13:39:27 | INFO | __main__:run:114 | Starting bot polling...
